CD_GEOCMU;NM_MUNICIP;BIOMA
2200509;AMARANTE;Caatinga
2200509;AMARANTE;Cerrado
2100600;AMARANTE DO MARANHÃO;Amazônia
2100600;AMARANTE DO MARANHÃO;Cerrado
2901007;AMARGOSA;Caatinga
2901007;AMARGOSA;Mata Atlântica
1300060;AMATURÁ;Amazônia
2901106;AMÉLIA RODRIGUES;Mata Atlântica
2901155;AMÉRICA DOURADA;Caatinga
3501608;AMERICANA;Mata Atlântica
5200852;AMERICANO DO BRASIL;Cerrado
3501707;AMÉRICO BRASILIENSE;Cerrado
3501707;AMÉRICO BRASILIENSE;Mata Atlântica
3501806;AMÉRICO DE CAMPOS;Cerrado
3501806;AMÉRICO DE CAMPOS;Mata Atlântica
4300646;AMETISTA DO SUL;Mata Atlântica
2300754;AMONTADA;Caatinga
5200902;AMORINÓPOLIS;Cerrado
2500734;AMPARO;Caatinga
3501905;AMPARO;Mata Atlântica
2800100;AMPARO DE SÃO FRANCISCO;Caatinga
3102506;AMPARO DO SERRA;Mata Atlântica
4101002;AMPÉRE;Mata Atlântica
2700201;ANADIA;Mata Atlântica
2901205;ANAGÉ;Caatinga
2901205;ANAGÉ;Mata Atlântica
4101051;ANAHY;Mata Atlântica
1500701;ANAJÁS;Amazônia
2100709;ANAJATUBA;Amazônia
3502002;ANALÂNDIA;Cerrado
3502002;ANALÂNDIA;Mata Atlântica
1300086;ANAMÃ;Amazônia
1701002;ANANÁS;Amazônia
1701002;ANANÁS;Cerrado
1500800;ANANINDEUA;Amazônia
5201108;ANÁPOLIS;Cerrado
1500859;ANAPU;Amazônia
2100808;ANAPURUS;Cerrado
5000708;ANASTÁCIO;Cerrado
5000807;ANAURILÂNDIA;Cerrado
5000807;ANAURILÂNDIA;Mata Atlântica
3200409;ANCHIETA;Mata Atlântica
4200804;ANCHIETA;Mata Atlântica
2901304;ANDARAÍ;Caatinga
4101101;ANDIRÁ;Mata Atlântica
2901353;ANDORINHA;Caatinga
3102605;ANDRADAS;Mata Atlântica
3502101;ANDRADINA;Mata Atlântica
4300661;ANDRÉ DA ROCHA;Mata Atlântica
3102803;ANDRELÂNDIA;Mata Atlântica
3502200;ANGATUBA;Cerrado
3502200;ANGATUBA;Mata Atlântica
3102852;ANGELÂNDIA;Cerrado
3102852;ANGELÂNDIA;Mata Atlântica
5000856;ANGÉLICA;Mata Atlântica
2601003;ANGELIM;Caatinga
2601003;ANGELIM;Mata Atlântica
4200903;ANGELINA;Mata Atlântica
2901403;ANGICAL;Caatinga
2901403;ANGICAL;Cerrado
2200608;ANGICAL DO PIAUÍ;Cerrado
1701051;ANGICO;Amazônia
1701051;ANGICO;Cerrado
2400802;ANGICOS;Caatinga
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
